seq_len,baseline_tok_s,bg_tok_s,bg_over_baseline
512,2358.85,7648.54,3.2425
1024,13094.69,10839.31,0.8278
2048,11626.35,11407.34,0.9812
4096,8687.44,9100.98,1.0476
8192,4261.60,5731.71,1.3450
9216,3986.01,5079.29,1.2743
10240,3728.28,4616.90,1.2383
12288,3398.40,4136.15,1.2171
14336,3115.77,3787.82,1.2157
